# phrase|conversation podstawy
zovem se|nazywam się|Zovem se Marko.|Nazywam się Marko.
kanu|kanu|To je kanu.|To jest kanu.
kajak|kajak|To je kajak.|To jest kajak.
podmornica|łódź podwodna|To je podmornica.|To jest łódź podwodna.
helikopter|helikopter|To je helikopter.|To jest helikopter.
žičara|kolejka linowa|To je žičara.|To jest kolejka linowa.
gondola|gondola kolejki linowej|To je gondola.|To jest gondola kolejki linowej.
lokomotiva|lokomotywa|To je lokomotiva.|To jest lokomotywa.
vagon|wagon|To je vagon.|To jest wagon.
kupe|przedział kolejowy|To je kupe.|To jest przedział kolejowy.
tračnica|szyna|To je tračnica.|To jest szyna.
željeznička pruga|linia kolejowa|To je željeznička pruga.|To jest linia kolejowa.
željeznički prijelaz|przejazd kolejowy|To je željeznički prijelaz.|To jest przejazd kolejowy.
vozni red|rozkład jazdy|To je vozni red.|To jest rozkład jazdy.
polazni peron|peron odjazdu|To je polazni peron.|To jest peron odjazdu.
odredište|cel podróży|To je odredište.|To jest cel podróży.
polazište|punkt wyjazdu|To je polazište.|To jest punkt wyjazdu.
izravna linija|bezpośrednie połączenie|To je izravna linija.|To jest bezpośrednie połączenie.
karta u jednom smjeru|bilet w jedną stronę|To je karta u jednom smjeru.|To jest bilet w jedną stronę.
dnevna karta|bilet dobowy|To je dnevna karta.|To jest bilet dobowy.
mjesečna karta|bilet miesięczny|To je mjesečna karta.|To jest bilet miesięczny.
pokaz|bilet okresowy, potocznie|To je pokaz.|To jest bilet okresowy.
kontrolor|kontroler biletów|To je kontrolor.|To jest kontroler biletów.
poništivač karata|kasownik biletów|To je poništivač karata.|To jest kasownik biletów.
stajalište|przystanek|To je stajalište.|To jest przystanek.
nogostup|chodnik dla pieszych|To je nogostup.|To jest chodnik dla pieszych.
pločnik|brukowany chodnik|To je pločnik.|To jest brukowany chodnik.
ležeći policajac|próg zwalniający|To je ležeći policajac.|To jest próg zwalniający.
pothodnik|przejście podziemne|To je pothodnik.|To jest przejście podziemne.
nathodnik|kładka nad drogą|To je nathodnik.|To jest kładka nad drogą.
obilaznica|obwodnica|To je obilaznica.|To jest obwodnica.
naplatna kućica|bramka poboru opłat|To je naplatna kućica.|To jest bramka poboru opłat.
vinjeta|winieta drogowa|To je vinjeta.|To jest winieta drogowa.
odmorište|miejsce odpoczynku przy drodze|To je odmorište.|To jest miejsce odpoczynku przy drodze.
zaustavna traka|pas awaryjny|To je zaustavna traka.|To jest pas awaryjny.
biciklistička staza|droga rowerowa|To je biciklistička staza.|To jest droga rowerowa.
jednosmjerna ulica|ulica jednokierunkowa|To je jednosmjerna ulica.|To jest ulica jednokierunkowa.
slijepa ulica|ślepa uliczka|To je slijepa ulica.|To jest ślepa uliczka.
ograničenje brzine|ograniczenie prędkości|To je ograničenje brzine.|To jest ograniczenie prędkości.
prometna dozvola|dowód rejestracyjny|To je prometna dozvola.|To jest dowód rejestracyjny.
registarska pločica|tablica rejestracyjna|To je registarska pločica.|To jest tablica rejestracyjna.
tehnički pregled|przegląd techniczny|To je tehnički pregled.|To jest przegląd techniczny.
osobni automobil|samochód osobowy|To je osobni automobil.|To jest samochód osobowy.
prtljažnik|bagażnik|To je prtljažnik.|To jest bagażnik.
poklopac motora|maska silnika|To je poklopac motora.|To jest maska silnika.
vjetrobransko staklo|przednia szyba samochodu|To je vjetrobransko staklo.|To jest przednia szyba samochodu.
brisač|wycieraczka samochodowa|To je brisač.|To jest wycieraczka samochodowa.
retrovizor|lusterko wsteczne|To je retrovizor.|To jest lusterko wsteczne.
pokazivač smjera|kierunkowskaz|To je pokazivač smjera.|To jest kierunkowskaz.
svjetlo za maglu|światło przeciwmgielne|To je svjetlo za maglu.|To jest światło przeciwmgielne.
ručna kočnica|hamulec ręczny|To je ručna kočnica.|To jest hamulec ręczny.
kvačilo|sprzęgło|To je kvačilo.|To jest sprzęgło.
mjenjač|skrzynia biegów|To je mjenjač.|To jest skrzynia biegów.
volan|kierownica samochodu|To je volan.|To jest kierownica samochodu.
papučica|pedał samochodowy|To je papučica.|To jest pedał samochodowy.
ispuh|układ wydechowy|To je ispuh.|To jest układ wydechowy.
akumulator|akumulator|To je akumulator.|To jest akumulator.
spremnik goriva|zbiornik paliwa|To je spremnik goriva.|To jest zbiornik paliwa.
rezervni kotač|koło zapasowe|To je rezervni kotač.|To jest koło zapasowe.
dizalica za auto|lewarek samochodowy|To je dizalica za auto.|To jest lewarek samochodowy.
vučna služba|pomoc drogowa z holowaniem|To je vučna služba.|To jest pomoc drogowa z holowaniem.
vulkanizer|wulkanizator|To je vulkanizer.|To jest wulkanizator.
sigurnosni pojas|pas bezpieczeństwa|To je sigurnosni pojas.|To jest pas bezpieczeństwa.
zračni jastuk|poduszka powietrzna|To je zračni jastuk.|To jest poduszka powietrzna.
autosjedalica|fotelik samochodowy|To je autosjedalica.|To jest fotelik samochodowy.
# noun|school
učionica|sala lekcyjna|To je učionica.|To jest sala lekcyjna.
zbornica|pokój nauczycielski|To je zbornica.|To jest pokój nauczycielski.
školska klupa|ławka szkolna|To je školska klupa.|To jest ławka szkolna.
ploča|tablica|To je ploča.|To jest tablica.
kreda|kreda|To je kreda.|To jest kreda.
flomaster|flamaster|To je flomaster.|To jest flamaster.
kemijska olovka|długopis|To je kemijska olovka.|To jest długopis.
gumica|gumka do ścierania|To je gumica.|To jest gumka do ścierania.
šiljilo|temperówka|To je šiljilo.|To jest temperówka.
pernica|piórnik|To je pernica.|To jest piórnik.
ravnalo|linijka|To je ravnalo.|To jest linijka.
šestar|cyrkiel|To je šestar.|To jest cyrkiel.
kutomjer|kątomierz|To je kutomjer.|To jest kątomierz.
škare|nożyczki|To su škare.|To są nożyczki.
spajalica|spinacz biurowy|To je spajalica.|To jest spinacz biurowy.
klamerica|zszywacz|To je klamerica.|To jest zszywacz.
spojnica|zszywka|To je spojnica.|To jest zszywka.
bušilica za papir|dziurkacz biurowy|To je bušilica za papir.|To jest dziurkacz biurowy.
registrator|segregator|To je registrator.|To jest segregator.
fascikl|teczka na dokumenty|To je fascikl.|To jest teczka na dokumenty.
omotnica|koperta|To je omotnica.|To jest koperta.
bilježnica na crte|zeszyt w linie|To je bilježnica na crte.|To jest zeszyt w linie.
bilježnica na kvadratiće|zeszyt w kratkę|To je bilježnica na kvadratiće.|To jest zeszyt w kratkę.
radna bilježnica|zeszyt ćwiczeń|To je radna bilježnica.|To jest zeszyt ćwiczeń.
udžbenik|podręcznik|To je udžbenik.|To jest podręcznik.
čitanka|podręcznik do czytania|To je čitanka.|To jest podręcznik do czytania.
lektira|lektura szkolna|To je lektira.|To jest lektura szkolna.
domaća zadaća|praca domowa|To je domaća zadaća.|To jest praca domowa.
razrednik|wychowawca klasy|To je razrednik.|To jest wychowawca klasy.
ravnatelj|dyrektor szkoły lub instytucji|To je ravnatelj.|To jest dyrektor szkoły lub instytucji.
predmet|przedmiot szkolny|To je predmet.|To jest przedmiot szkolny.
raspored sati|plan lekcji|To je raspored sati.|To jest plan lekcji.
školski sat|godzina lekcyjna|To je školski sat.|To jest godzina lekcyjna.
veliki odmor|długa przerwa szkolna|To je veliki odmor.|To jest długa przerwa szkolna.
školska godina|rok szkolny|To je školska godina.|To jest rok szkolny.
polugodište|półrocze szkolne|To je polugodište.|To jest półrocze szkolne.
svjedodžba|świadectwo szkolne|To je svjedodžba.|To jest świadectwo szkolne.
odlikaš|bardzo dobry uczeń|To je odlikaš.|To jest bardzo dobry uczeń.
izostanak|nieobecność|To je izostanak.|To jest nieobecność.
ispričnica|usprawiedliwienie nieobecności|To je ispričnica.|To jest usprawiedliwienie nieobecności.
roditeljski sastanak|wywiadówka|To je roditeljski sastanak.|To jest wywiadówka.
matura|matura|To je matura.|To jest matura.
prijamni ispit|egzamin wstępny|To je prijamni ispit.|To jest egzamin wstępny.
upis|rekrutacja do szkoły|To je upis.|To jest rekrutacja do szkoły.
školarina|czesne|To je školarina.|To jest czesne.
stipendija|stypendium|To je stipendija.|To jest stypendium.
fakultet|wydział uczelni|To je fakultet.|To jest wydział uczelni.
studij|kierunek studiów|To je studij.|To jest kierunek studiów.
prijediplomski studij|studia pierwszego stopnia|To je prijediplomski studij.|To są studia pierwszego stopnia.
diplomski studij|studia drugiego stopnia|To je diplomski studij.|To są studia drugiego stopnia.
doktorat|doktorat|To je doktorat.|To jest doktorat.
seminar|seminarium|To je seminar.|To jest seminarium.
seminarski rad|praca seminaryjna|To je seminarski rad.|To jest praca seminaryjna.
kolokvij|kolokwium|To je kolokvij.|To jest kolokwium.
usmeni ispit|egzamin ustny|To je usmeni ispit.|To jest egzamin ustny.
pismeni ispit|egzamin pisemny|To je pismeni ispit.|To jest egzamin pisemny.
ispitni rok|sesja egzaminacyjna|To je ispitni rok.|To jest sesja egzaminacyjna.
mentor|promotor, mentor|To je mentor.|To jest promotor.
brucoš|student pierwszego roku|To je brucoš.|To jest student pierwszego roku.
cimer|współlokator|To je cimer.|To jest współlokator.
studentski dom|akademik|To je studentski dom.|To jest akademik.
menza|stołówka|To je menza.|To jest stołówka.
# noun|language
imenica|rzeczownik|To je imenica.|To jest rzeczownik.
glagol|czasownik|To je glagol.|To jest czasownik.
pridjev|przymiotnik|To je pridjev.|To jest przymiotnik.
prilog|przysłówek|To je prilog.|To jest przysłówek.
zamjenica|zaimek|To je zamjenica.|To jest zaimek.
veznik|spójnik|To je veznik.|To jest spójnik.
čestica|partykuła gramatyczna|To je čestica.|To jest partykuła gramatyczna.
uzvik|wykrzyknik jako część mowy|To je uzvik.|To jest wykrzyknik jako część mowy.
jednina|liczba pojedyncza|To je jednina.|To jest liczba pojedyncza.
množina|liczba mnoga|To je množina.|To jest liczba mnoga.
muški rod|rodzaj męski|To je muški rod.|To jest rodzaj męski.
ženski rod|rodzaj żeński|To je ženski rod.|To jest rodzaj żeński.
srednji rod|rodzaj nijaki|To je srednji rod.|To jest rodzaj nijaki.
padež|przypadek gramatyczny|To je padež.|To jest przypadek gramatyczny.
nominativ|mianownik|To je nominativ.|To jest mianownik.
genitiv|dopełniacz|To je genitiv.|To jest dopełniacz.
dativ|celownik|To je dativ.|To jest celownik.
akuzativ|biernik|To je akuzativ.|To jest biernik.
vokativ|wołacz|To je vokativ.|To jest wołacz.
lokativ|miejscownik|To je lokativ.|To jest miejscownik.
instrumental|narzędnik|To je instrumental.|To jest narzędnik.
infinitiv|bezokolicznik|To je infinitiv.|To jest bezokolicznik.
prezent|czas teraźniejszy|To je prezent.|To jest czas teraźniejszy.
perfekt|czas przeszły złożony|To je perfekt.|To jest czas przeszły złożony.
futur|czas przyszły|To je futur.|To jest czas przyszły.
imperativ|tryb rozkazujący|To je imperativ.|To jest tryb rozkazujący.
kondicional|tryb warunkowy|To je kondicional.|To jest tryb warunkowy.
glagolski vid|aspekt czasownika|To je glagolski vid.|To jest aspekt czasownika.
svršeni glagol|czasownik dokonany|To je svršeni glagol.|To jest czasownik dokonany.
nesvršeni glagol|czasownik niedokonany|To je nesvršeni glagol.|To jest czasownik niedokonany.
povratni glagol|czasownik zwrotny|To je povratni glagol.|To jest czasownik zwrotny.
subjekt|podmiot|To je subjekt.|To jest podmiot.
predikat|orzeczenie|To je predikat.|To jest orzeczenie.
objekt|dopełnienie|To je objekt.|To jest dopełnienie.
nastavak|końcówka wyrazu|To je nastavak.|To jest końcówka wyrazu.
prefiks|przedrostek|To je prefiks.|To jest przedrostek.
sufiks|przyrostek|To je sufiks.|To jest przyrostek.
slog|sylaba|To je slog.|To jest sylaba.
samoglasnik|samogłoska|To je samoglasnik.|To jest samogłoska.
suglasnik|spółgłoska|To je suglasnik.|To jest spółgłoska.
naglasak|akcent wyrazowy|To je naglasak.|To jest akcent wyrazowy.
intonacija|intonacja|To je intonacija.|To jest intonacja.
upitnik|znak zapytania|To je upitnik.|To jest znak zapytania.
uskličnik|wykrzyknik jako znak|To je uskličnik.|To jest wykrzyknik jako znak.
zarez|przecinek|To je zarez.|To jest przecinek.
točka|kropka jako znak|To je točka.|To jest kropka jako znak.
dvotočka|dwukropek|To je dvotočka.|To jest dwukropek.
navodnici|cudzysłów|To su navodnici.|To jest cudzysłów.
zagrada|nawias|To je zagrada.|To jest nawias.
crtica|myślnik lub kreska|To je crtica.|To jest myślnik lub kreska.
spojnica između riječi|łącznik między wyrazami|To je spojnica između riječi.|To jest łącznik między wyrazami.
kratica|skrót|To je kratica.|To jest skrót.
sinonim|synonim|To je sinonim.|To jest synonim.
antonim|antonim|To je antonim.|To jest antonim.
dijalekt|dialekt|To je dijalekt.|To jest dialekt.
materinski jezik|język ojczysty|To je materinski jezik.|To jest język ojczysty.
književni jezik|język literacki, standardowy|To je književni jezik.|To jest język literacki.
# noun|technology
zaslon|ekran, wyświetlacz|To je zaslon.|To jest ekran.
dodirni zaslon|ekran dotykowy|To je dodirni zaslon.|To jest ekran dotykowy.
prečac|skrót do pliku lub funkcji|To je prečac.|To jest skrót do pliku lub funkcji.
radna površina|pulpit komputera|To je radna površina.|To jest pulpit komputera.
mapa|folder komputerowy|To je mapa.|To jest folder komputerowy.
podmapa|podfolder|To je podmapa.|To jest podfolder.
poveznica|link|To je poveznica.|To jest link.
preglednik|przeglądarka|To je preglednik.|To jest przeglądarka.
tražilica|wyszukiwarka|To je tražilica.|To jest wyszukiwarka.
kartica preglednika|karta przeglądarki|To je kartica preglednika.|To jest karta przeglądarki.
oznaka|etykieta, oznaczenie|To je oznaka.|To jest etykieta.
knjižna oznaka|zakładka do książki|To je knjižna oznaka.|To jest zakładka do książki.
zabilješka|notatka|To je zabilješka.|To jest notatka.
bilješka|zapisana uwaga|To je bilješka.|To jest zapisana uwaga.
obavijest|powiadomienie|To je obavijest.|To jest powiadomienie.
postavka|ustawienie|To je postavka.|To jest ustawienie.
preuzimanje|pobieranie|To je preuzimanje.|To jest pobieranie.
prijenos podataka|przesyłanie danych|To je prijenos podataka.|To jest przesyłanie danych.
pohrana|przechowywanie danych|To je pohrana.|To jest przechowywanie danych.
memorija|pamięć urządzenia|To je memorija.|To jest pamięć urządzenia.
procesor|procesor|To je procesor.|To jest procesor.
tvrdi disk|dysk twardy|To je tvrdi disk.|To jest dysk twardy.
matična ploča|płyta główna|To je matična ploča.|To jest płyta główna.
grafička kartica|karta graficzna|To je grafička kartica.|To jest karta graficzna.
napajanje|zasilanie|To je napajanje.|To jest zasilanie.
usmjerivač|router|To je usmjerivač.|To jest router.
modem|modem|To je modem.|To jest modem.
poslužitelj|serwer|To je poslužitelj.|To jest serwer.
operativni sustav|system operacyjny|To je operativni sustav.|To jest system operacyjny.
programska podrška|oprogramowanie|To je programska podrška.|To jest oprogramowanie.
korisničko ime|nazwa użytkownika|To je korisničko ime.|To jest nazwa użytkownika.
prijava|logowanie, zgłoszenie|To je prijava.|To jest logowanie.
odjava|wylogowanie|To je odjava.|To jest wylogowanie.
pretplata|subskrypcja|To je pretplata.|To jest subskrypcja.
obnova pretplate|odnowienie subskrypcji|To je obnova pretplate.|To jest odnowienie subskrypcji.
probno razdoblje|okres próbny|To je probno razdoblje.|To jest okres próbny.
licencija|licencja|To je licencija.|To jest licencja.
autorsko pravo|prawo autorskie|To je autorsko pravo.|To jest prawo autorskie.
privatnost|prywatność|To je privatnost.|To jest prywatność.
privola|zgoda na przetwarzanie danych|To je privola.|To jest zgoda na przetwarzanie danych.
neželjena pošta|niechciana poczta|To je neželjena pošta.|To jest niechciana poczta.
snimka zaslona|zrzut ekranu|To je snimka zaslona.|To jest zrzut ekranu.
videozapis|nagranie wideo|To je videozapis.|To jest nagranie wideo.
zvučni zapis|nagranie dźwiękowe|To je zvučni zapis.|To jest nagranie dźwiękowe.
titlovi|napisy do filmu|To su titlovi.|To są napisy do filmu.
slušalica|słuchawka telefoniczna|To je slušalica.|To jest słuchawka telefoniczna.
broj pozivatelja|numer dzwoniącego|To je broj pozivatelja.|To jest numer dzwoniącego.
propušteni poziv|nieodebrane połączenie|To je propušteni poziv.|To jest nieodebrane połączenie.
govorna pošta|poczta głosowa|To je govorna pošta.|To jest poczta głosowa.
pozivni broj|numer kierunkowy|To je pozivni broj.|To jest numer kierunkowy.
bežična mreža|sieć bezprzewodowa|To je bežična mreža.|To jest sieć bezprzewodowa.
mobilni podaci|dane komórkowe|To su mobilni podaci.|To są dane komórkowe.
način rada u zrakoplovu|tryb samolotowy|To je način rada u zrakoplovu.|To jest tryb samolotowy.
svjetlina|jasność ekranu|To je svjetlina.|To jest jasność ekranu.
glasnoća|głośność|To je glasnoća.|To jest głośność.
razlučivost|rozdzielczość|To je razlučivost.|To jest rozdzielczość.
# noun|sport
plivač|pływak|To je plivač.|To jest pływak.
plivačica|pływaczka|To je plivačica.|To jest pływaczka.
plivanje|pływanie|To je plivanje.|To jest pływanie.
kraul|kraul|To je kraul.|To jest kraul.
prsno plivanje|pływanie żabką|To je prsno plivanje.|To jest pływanie żabką.
leđno plivanje|pływanie na plecach|To je leđno plivanje.|To jest pływanie na plecach.
leptir stil|styl motylkowy|To je leptir stil.|To jest styl motylkowy.
plivačke naočale|okularki pływackie|To su plivačke naočale.|To są okularki pływackie.
kapa za plivanje|czepek pływacki|To je kapa za plivanje.|To jest czepek pływacki.
štipaljka za nos|zacisk na nos|To je štipaljka za nos.|To jest zacisk na nos.
čepići za uši|zatyczki do uszu|To su čepići za uši.|To są zatyczki do uszu.
plivačka staza|tor pływacki|To je plivačka staza.|To jest tor pływacki.
okret|obrót, nawrót|To je okret.|To jest obrót.
zamah|zamach|To je zamah.|To jest zamach.
zaveslaj|ruch wiosłem lub ręką w pływaniu|To je zaveslaj.|To jest ruch wiosłem lub ręką w pływaniu.
ronjenje|nurkowanie|To je ronjenje.|To jest nurkowanie.
peraja|płetwa|To je peraja.|To jest płetwa.
maska za ronjenje|maska do nurkowania|To je maska za ronjenje.|To jest maska do nurkowania.
disalica|rurka do nurkowania|To je disalica.|To jest rurka do nurkowania.
spasilac|ratownik|To je spasilac.|To jest ratownik.
svlačionica|szatnia sportowa|To je svlačionica.|To jest szatnia sportowa.
ormarić|szafka|To je ormarić.|To jest szafka.
lokot|kłódka|To je lokot.|To jest kłódka.
članarina|składka członkowska|To je članarina.|To jest składka członkowska.
članska iskaznica|karta członkowska|To je članska iskaznica.|To jest karta członkowska.
uteg|ciężarek|To je uteg.|To jest ciężarek.
bučica|hantel|To je bučica.|To jest hantel.
šipka|sztanga, drążek|To je šipka.|To jest sztanga.
klupa za vježbanje|ławka treningowa|To je klupa za vježbanje.|To jest ławka treningowa.
sprava|przyrząd do ćwiczeń|To je sprava.|To jest przyrząd do ćwiczeń.
traka za trčanje|bieżnia elektryczna|To je traka za trčanje.|To jest bieżnia elektryczna.
sobni bicikl|rower stacjonarny|To je sobni bicikl.|To jest rower stacjonarny.
elastična traka|guma do ćwiczeń|To je elastična traka.|To jest guma do ćwiczeń.
čučanj|przysiad|To je čučanj.|To jest przysiad.
sklek|pompka jako ćwiczenie|To je sklek.|To jest pompka jako ćwiczenie.
zgib|podciągnięcie na drążku|To je zgib.|To jest podciągnięcie na drążku.
iskorak|wykrok|To je iskorak.|To jest wykrok.
trbušnjak|brzuszek jako ćwiczenie|To je trbušnjak.|To jest brzuszek jako ćwiczenie.
istezanje|rozciąganie|To je istezanje.|To jest rozciąganie.
zagrijavanje|rozgrzewka|To je zagrijavanje.|To jest rozgrzewka.
opterećenje|obciążenie|To je opterećenje.|To jest obciążenie.
ponavljanje vježbe|powtórzenie ćwiczenia|To je ponavljanje vježbe.|To jest powtórzenie ćwiczenia.
serija vježbi|seria ćwiczeń|To je serija vježbi.|To jest seria ćwiczeń.
izdržljivost|wytrzymałość|To je izdržljivost.|To jest wytrzymałość.
ravnoteža|równowaga|To je ravnoteža.|To jest równowaga.
gibljivost|gibkość|To je gibljivost.|To jest gibkość.
oporavak nakon treninga|regeneracja po treningu|To je oporavak nakon treninga.|To jest regeneracja po treningu.
trkač|biegacz|To je trkač.|To jest biegacz.
maraton|maraton|To je maraton.|To jest maraton.
polumaraton|półmaraton|To je polumaraton.|To jest półmaraton.
triatlon|triathlon|To je triatlon.|To jest triathlon.
utrka|wyścig, bieg sportowy|To je utrka.|To jest wyścig.
start|start|To je start.|To jest start.
ciljna crta|linia mety|To je ciljna crta.|To jest linia mety.
startni broj|numer startowy|To je startni broj.|To jest numer startowy.
osobni rekord|rekord życiowy|To je osobni rekord.|To jest rekord życiowy.
krug|okrążenie|To je krug.|To jest okrążenie.
tempo|tempo|To je tempo.|To jest tempo.
interval|interwał|To je interval.|To jest interwał.
uzbrdica|podejście, podjazd|To je uzbrdica.|To jest podejście.
nizbrdica|zejście, zjazd|To je nizbrdica.|To jest zejście.
trening|trening|To je trening.|To jest trening.
suigrač|kolega z drużyny|To je suigrač.|To jest kolega z drużyny.
protivnik|przeciwnik|To je protivnik.|To jest przeciwnik.
navijač|kibic|To je navijač.|To jest kibic.
tribina|trybuna|To je tribina.|To jest trybuna.
igralište|boisko|To je igralište.|To jest boisko.
sportska dvorana|hala sportowa|To je sportska dvorana.|To jest hala sportowa.
koš|kosz do koszykówki|To je koš.|To jest kosz do koszykówki.
gol|bramka|To je gol.|To jest bramka.
vratar|bramkarz|To je vratar.|To jest bramkarz.
lopta|piłka|To je lopta.|To jest piłka.
reket|rakieta do gry|To je reket.|To jest rakieta do gry.
rekvizit|rekwizyt, sprzęt pomocniczy|To je rekvizit.|To jest rekwizyt.
odbojka|siatkówka|To je odbojka.|To jest siatkówka.
košarka|koszykówka|To je košarka.|To jest koszykówka.
rukomet|piłka ręczna|To je rukomet.|To jest piłka ręczna.
stolni tenis|tenis stołowy|To je stolni tenis.|To jest tenis stołowy.
badminton|badminton|To je badminton.|To jest badminton.
šah|szachy|To je šah.|To są szachy.
društvena igra|gra planszowa lub towarzyska|To je društvena igra.|To jest gra planszowa lub towarzyska.
kockica|kostka do gry|To je kockica.|To jest kostka do gry.
figura|figurka, figura w grze|To je figura.|To jest figurka.
pijun|pionek szachowy|To je pijun.|To jest pionek szachowy.
špil karata|talia kart|To je špil karata.|To jest talia kart.
potez|ruch w grze|To je potez.|To jest ruch w grze.
pravilo igre|zasada gry|To je pravilo igre.|To jest zasada gry.
izjednačenje|remis, wyrównanie wyniku|To je izjednačenje.|To jest remis.
produžetak|dogrywka|To je produžetak.|To jest dogrywka.
# noun|animals
kukac|owad|To je kukac.|To jest owad.
bumbar|trzmiel|To je bumbar.|To jest trzmiel.
stršljen|szerszeń|To je stršljen.|To jest szerszeń.
krpelj|kleszcz|To je krpelj.|To jest kleszcz.
buha|pchła|To je buha.|To jest pchła.
uš|wesz|To je uš.|To jest wesz.
stjenica|pluskwa|To je stjenica.|To jest pluskwa.
žohar|karaluch|To je žohar.|To jest karaluch.
moljac|mól|To je moljac.|To jest mól.
bubamara|biedronka|To je bubamara.|To jest biedronka.
skakavac|konik polny|To je skakavac.|To jest konik polny.
vilin konjic|ważka|To je vilin konjic.|To jest ważka.
puž golać|ślimak nagi|To je puž golać.|To jest ślimak nagi.
jež|jeż|To je jež.|To jest jeż.
krtica|kret|To je krtica.|To jest kret.
šišmiš|nietoperz|To je šišmiš.|To jest nietoperz.
vidra|wydra|To je vidra.|To jest wydra.
dabar|bóbr|To je dabar.|To jest bóbr.
jazavac|borsuk|To je jazavac.|To jest borsuk.
kuna|kuna, zwierzę|To je kuna.|To jest kuna.
ris|ryś|To je ris.|To jest ryś.
zmaj|smok|To je zmaj.|To jest smok.
sova|sowa|To je sova.|To jest sowa.
orao|orzeł|To je orao.|To jest orzeł.
sokol|sokół|To je sokol.|To jest sokół.
jastreb|jastrząb|To je jastreb.|To jest jastrząb.
vrabac|wróbel|To je vrabac.|To jest wróbel.
golub|gołąb|To je golub.|To jest gołąb.
galeb|mewa|To je galeb.|To jest mewa.
lastavica|jaskółka|To je lastavica.|To jest jaskółka.
roda|bocian|To je roda.|To jest bocian.
labud|łabędź|To je labud.|To jest łabędź.
vrana|wrona|To je vrana.|To jest wrona.
gavran|kruk|To je gavran.|To jest kruk.
svraka|sroka|To je svraka.|To jest sroka.
djetlić|dzięcioł|To je djetlić.|To jest dzięcioł.
kos|kos, ptak|To je kos.|To jest kos.
pingvin|pingwin|To je pingvin.|To jest pingwin.
noj|struś|To je noj.|To jest struś.
paun|paw|To je paun.|To jest paw.
gušter|jaszczurka|To je gušter.|To jest jaszczurka.
krokodil|krokodyl|To je krokodil.|To jest krokodyl.
dupin|delfin|To je dupin.|To jest delfin.
kit|wieloryb|To je kit.|To jest wieloryb.
morski pas|rekin|To je morski pas.|To jest rekin.
orka|orka|To je orka.|To jest orka.
tuljan|foka|To je tuljan.|To jest foka.
meduza|meduza|To je meduza.|To jest meduza.
hobotnica|ośmiornica|To je hobotnica.|To jest ośmiornica.
lignja|kałamarnica|To je lignja.|To jest kałamarnica.
sipa|mątwa|To je sipa.|To jest mątwa.
rak|rak, skorupiak|To je rak.|To jest rak.
škamp|langustynka|To je škamp.|To jest langustynka.
kozica|krewetka|To je kozica.|To jest krewetka.
jastog|homar|To je jastog.|To jest homar.
dagnja|omułek|To je dagnja.|To jest omułek.
kamenica|ostryga|To je kamenica.|To jest ostryga.
morski jež|jeżowiec|To je morski jež.|To jest jeżowiec.
morska zvijezda|rozgwiazda|To je morska zvijezda.|To jest rozgwiazda.
srdela|sardynka|To je srdela.|To jest sardynka.
inćun|sardela|To je inćun.|To jest sardela.
tuna|tuńczyk|To je tuna.|To jest tuńczyk.
losos|łosoś|To je losos.|To jest łosoś.
pastrva|pstrąg|To je pastrva.|To jest pstrąg.
šaran|karp|To je šaran.|To jest karp.
som|sum|To je som.|To jest sum.
štuka|szczupak|To je štuka.|To jest szczupak.
oslić|morszczuk|To je oslić.|To jest morszczuk.
bakalar|dorsz|To je bakalar.|To jest dorsz.
orada|dorada|To je orada.|To jest dorada.
brancin|labraks, okoń morski|To je brancin.|To jest labraks.
skuša|makrela|To je skuša.|To jest makrela.
# verb|home
oprati|umyć, wyprać|Moram oprati ruke.|Muszę umyć ręce.
umiti se|umyć twarz|Želim se umiti.|Chcę umyć twarz.
umivati se|myć twarz|Umivam se svako jutro.|Myję twarz każdego ranka.
otuširati se|wziąć prysznic|Idem se otuširati.|Idę wziąć prysznic.
tuširati se|brać prysznic|Volim se tuširati navečer.|Lubię brać prysznic wieczorem.
okupati se|wykąpać się|Želim se okupati.|Chcę się wykąpać.
osušiti|wysuszyć|Moram osušiti kosu.|Muszę wysuszyć włosy.
sušiti|suszyć|Ovdje sušimo rublje.|Tutaj suszymy pranie.
obrisati se|wytrzeć się|Obriši se ručnikom.|Wytrzyj się ręcznikiem.
obrijati se|ogolić się|Moram se obrijati.|Muszę się ogolić.
brijati se|golić się|Brijem se svaki dan.|Golę się codziennie.
počešljati se|uczesać się|Moram se počešljati.|Muszę się uczesać.
češljati se|czesać się|Češljam se pred ogledalom.|Czeszę się przed lustrem.
našminkati se|umalować się|Želi se našminkati.|Chce się umalować.
šminkati se|malować się|Šminka se u kupaonici.|Maluje się w łazience.
skinuti šminku|zmyć makijaż|Moram skinuti šminku.|Muszę zmyć makijaż.
namazati|posmarować|Namaži ruke kremom.|Posmaruj ręce kremem.
mazati|smarować|Mažem kruh maslacem.|Smaruję chleb masłem.
isprati|wypłukać|Isperi čašu vodom.|Wypłucz szklankę wodą.
ispirati|płukać|Ispirem kosu.|Płuczę włosy.
obući|założyć ubranie|Obuci toplu jaknu.|Załóż ciepłą kurtkę.
oblačiti|ubierać kogoś|Oblačim dijete.|Ubieram dziecko.
oblačiti se|ubierać się|Brzo se oblačim.|Szybko się ubieram.
svući se|rozebrać się|Moram se svući.|Muszę się rozebrać.
svlačiti se|rozbierać się|Dijete se samo svlači.|Dziecko samo się rozbiera.
obuti|włożyć buty|Obuj cipele.|Włóż buty.
