Rank;Polish;Croatian;PartOfSpeech;Grammar;ExampleCroatian;ExamplePolish;FalseFriend;FalseFriendNote;Tags
1490;reszta (z pieniędzy);ostatak;noun;rodzaj męski - w sklepie: ostatak novca;Zadržite ostatak.;Proszę zatrzymać resztę.;NO;;HR_1001_1500 noun shopping
1491;banknot;novčanica;noun;rodzaj żeński;Nemam manju novčanicu.;Nie mam mniejszego banknotu.;NO;;HR_1001_1500 noun shopping
1492;automat;automat;noun;rodzaj męski;Karte kupi na automatu.;Bilety kup w automacie.;NO;;HR_1001_1500 noun transportation
1493;kolejka górska (wyciąg);uspinjača;noun;rodzaj żeński;Uspinjača vozi do Gornjeg grada.;Kolejka jeździ do Górnego miasta.;NO;;HR_1001_1500 noun travel
1494;zwiedzanie;razgledavanje;noun;rodzaj nijaki;Razgledavanje traje dva sata.;Zwiedzanie trwa dwie godziny.;NO;;HR_1001_1500 noun travel
1495;zabytek;spomenik;noun;rodzaj męski - znaczy też pomnik;Spomenik je pod zaštitom.;Zabytek jest pod ochroną.;NO;;HR_1001_1500 noun travel
1496;stare miasto;stari grad;noun;rodzaj męski;Stari grad je pješačka zona.;Stare miasto to strefa piesza.;NO;;HR_1001_1500 noun travel
1497;pamiątka;suvenir;noun;rodzaj męski;Kupili smo suvenire za obitelj.;Kupiliśmy pamiątki dla rodziny.;NO;;HR_1001_1500 noun travel shopping
1498;pocztówka;razglednica;noun;rodzaj żeński;Poslao sam razglednicu iz Dubrovnika.;Wysłałem pocztówkę z Dubrownika.;NO;;HR_1001_1500 noun travel
1499;robić zdjęcia;fotografirati;verb;1. os.: fotografiram - nie fotografisati;Fotografiram zalazak sunca.;Fotografuję zachód słońca.;NO;;HR_1001_1500 verb travel
1500;zachód słońca;zalazak sunca;noun;rodzaj męski - gen. zalaska;Zalazak sunca je bio nevjerojatan.;Zachód słońca był niesamowity.;NO;;HR_1001_1500 noun travel
1501;niesamowity;nevjerojatan;adjective;ž. nevjerojatna;Priča je nevjerojatna.;Historia jest niesamowita.;NO;;HR_1501_2000 adjective opinions
1502;wschód słońca;izlazak sunca;noun;rodzaj męski - gen. izlaska;Ustali smo na izlazak sunca.;Wstaliśmy na wschód słońca.;NO;;HR_1501_2000 noun travel
1503;widok z góry;pogled s vrha;phrase;vrh szczyt;Pogled s vrha je fantastičan.;Widok z góry jest fantastyczny.;NO;;HR_1501_2000 travel
1504;szczyt;vrh;noun;rodzaj męski - mn. vrhovi;Na vrh se penje dva sata.;Na szczyt wchodzi się dwie godziny.;NO;;HR_1501_2000 noun travel
1505;wspinać się;penjati se;verb;1. os.: penjem se;Penjemo se polako.;Wspinamy się powoli.;NO;;HR_1501_2000 verb travel
1506;szlak;planinarska staza;noun;rodzaj żeński;Staza je dobro označena.;Szlak jest dobrze oznaczony.;NO;;HR_1501_2000 noun travel
1507;oznaczony;označen;adjective;ž. označena;Put je jasno označen.;Droga jest jasno oznaczona.;NO;;HR_1501_2000 adjective travel
1508;znak (drogowy);znak;noun;rodzaj męski - mn. znakovi;Nisam vidio znak.;Nie widziałem znaku.;NO;;HR_1501_2000 noun transportation
1509;tablica informacyjna;informativna ploča;noun;rodzaj żeński;Na ploči piše radno vrijeme.;Na tablicy pisze godziny otwarcia.;NO;;HR_1501_2000 noun travel
1510;kierunkowskaz;putokaz;noun;rodzaj męski;Putokaz pokazuje lijevo.;Drogowskaz pokazuje w lewo.;NO;;HR_1501_2000 noun transportation
1511;szukać drogi;tražiti put;phrase;;Tražimo put do plaže.;Szukamy drogi na plażę.;NO;;HR_1501_2000 travel
1512;zgubić się;izgubiti se;verb;1. os.: izgubim se;Izgubili smo se u starom gradu.;Zgubiliśmy się w starym mieście.;NO;;HR_1501_2000 verb travel
1513;pytać o drogę;pitati za put;phrase;;Pitaj nekoga za put.;Zapytaj kogoś o drogę.;NO;;HR_1501_2000 travel conversation
1514;prosto (kierunek);ravno;adverb;;Idite ravno pa desno.;Idźcie prosto potem w prawo.;NO;;HR_1501_2000 adverb transportation
1515;z powrotem;natrag;adverb;też: nazad;Vrati se natrag do trga.;Wróć z powrotem do placu.;NO;;HR_1501_2000 adverb travel
1516;niedaleko;nedaleko;adverb;+ od + gen.;Nedaleko odavde je pekara.;Niedaleko stąd jest piekarnia.;NO;;HR_1501_2000 adverb travel
1517;stąd;odavde;adverb;;Odavde je pet minuta hoda.;Stąd to pięć minut drogi.;NO;;HR_1501_2000 adverb travel
1518;tam (dokąd);onamo;adverb;częściej: tamo;Idemo tamo pješice.;Idziemy tam pieszo.;NO;;HR_1501_2000 adverb
1519;skądś;odnekud;adverb;;Poznajem te odnekud.;Znam cię skądś.;NO;;HR_1501_2000 adverb conversation
1520;dokądkolwiek;bilo kamo;phrase;;Idem bilo kamo samo da odem.;Pojadę dokądkolwiek byle wyjechać.;NO;;HR_1501_2000 conversation
1521;cokolwiek;bilo što;phrase;;Uzmi bilo što s police.;Weź cokolwiek z półki.;NO;;HR_1501_2000 conversation
1522;ktokolwiek;bilo tko;phrase;;Bilo tko to može napraviti.;Ktokolwiek może to zrobić.;NO;;HR_1501_2000 conversation
1523;półka;polica;noun;rodzaj żeński;Knjige su na gornjoj polici.;Książki są na górnej półce.;NO;;HR_1501_2000 noun home
1524;górny;gornji;adjective;ž. gornja;Gornji kat je prazan.;Górne piętro jest puste.;NO;;HR_1501_2000 adjective home
1525;dolny;donji;adjective;ž. donja;Donja ladica se zaglavila.;Dolna szuflada się zacięła.;NO;;HR_1501_2000 adjective home
1526;szuflada;ladica;noun;rodzaj żeński;Pribor je u ladici.;Sztućce są w szufladzie.;NO;;HR_1501_2000 noun home
1527;sztućce;pribor za jelo;noun;rodzaj męski;Donesi pribor za jelo.;Przynieś sztućce.;NO;;HR_1501_2000 noun food home
1528;garnek;lonac;noun;rodzaj męski - gen. lonca;Voda vrije u loncu.;Woda wrze w garnku.;NO;;HR_1501_2000 noun food home
1529;patelnia;tava;noun;rodzaj żeński;Tava je prevruća.;Patelnia jest za gorąca.;NO;;HR_1501_2000 noun food home
1530;piekarnik;pećnica;noun;rodzaj żeński;Stavi pizzu u pećnicu.;Włóż pizzę do piekarnika.;NO;;HR_1501_2000 noun home food
1531;zmywarka;perilica posuđa;noun;rodzaj żeński;Perilica posuđa je puna.;Zmywarka jest pełna.;NO;;HR_1501_2000 noun home
1532;naczynia;posuđe;noun;rodzaj nijaki - zbiorowe;Perem posuđe ručno.;Myję naczynia ręcznie.;NO;;HR_1501_2000 noun home
1533;odkurzać;usisavati;verb;1. os.: usisavam;Usisavam prije gostiju.;Odkurzam przed gośćmi.;NO;;HR_1501_2000 verb home
1534;odkurzacz;usisavač;noun;rodzaj męski;Usisavač je pokvaren.;Odkurzacz jest zepsuty.;NO;;HR_1501_2000 noun home
1535;ścierka;krpa;noun;rodzaj żeński;Obriši stol krpom.;Wytrzyj stół ścierką.;NO;;HR_1501_2000 noun home
1536;wycierać;brisati;verb;1. os.: brišem;Brišem prašinu svaki tjedan.;Wycieram kurz co tydzień.;NO;;HR_1501_2000 verb home
1537;kurz;prašina;noun;rodzaj żeński;Prašine ima svugdje.;Kurzu jest wszędzie.;NO;;HR_1501_2000 noun home
1538;porządkować;pospremiti;verb;1. os.: pospremim;Pospremi sobu prije izlaska.;Posprzątaj pokój przed wyjściem.;NO;;HR_1501_2000 verb home
1539;bałagan;nered;noun;rodzaj męski;U kuhinji je pravi nered.;W kuchni jest prawdziwy bałagan.;NO;;HR_1501_2000 noun home
1540;porządek w domu;red u kući;phrase;;Volim red u kući.;Lubię porządek w domu.;NO;;HR_1501_2000 home
1541;pomagać w domu;pomagati u kući;phrase;;Djeca pomažu u kući.;Dzieci pomagają w domu.;NO;;HR_1501_2000 home people
1542;obowiązki domowe;kućanski poslovi;noun;rodzaj męski mn.;Dijelimo kućanske poslove.;Dzielimy obowiązki domowe.;NO;;HR_1501_2000 noun home
1543;zakupy;kupovina;noun;rodzaj żeński;Idem u kupovinu poslije posla.;Idę na zakupy po pracy.;NO;;HR_1501_2000 noun shopping
1544;lista zakupów;popis za kupovinu;noun;rodzaj męski;Napiši popis za kupovinu.;Napisz listę zakupów.;NO;;HR_1501_2000 noun shopping
1545;wózek sklepowy;kolica;noun;rodzaj nijaki mn.;Uzmi kolica na ulazu.;Weź wózek przy wejściu.;NO;;HR_1501_2000 noun shopping
1546;kolejka do kasy;red na blagajni;phrase;blagajna kasa;Red na blagajni je kratak.;Kolejka do kasy jest krótka.;NO;;HR_1501_2000 shopping
1547;torba na zakupy;vrećica;noun;rodzaj żeński - znaczy też torebka foliowa;Trebate li vrećicu?;Potrzebują państwo torby?;NO;;HR_1501_2000 noun shopping
1548;produkt;proizvod;noun;rodzaj męski - mn. proizvodi;Domaći proizvodi su kvalitetni.;Lokalne produkty są dobrej jakości.;NO;;HR_1501_2000 noun shopping
1549;lokalny;domaći;adjective;ž. domaća - znaczy też domowy;Domaće vino je jače.;Lokalne wino jest mocniejsze.;NO;;HR_1501_2000 adjective food
1550;termin ważności;rok trajanja;noun;rodzaj męski;Provjeri rok trajanja.;Sprawdź termin ważności.;NO;;HR_1501_2000 noun shopping food
1551;opakowanie;pakiranje;noun;rodzaj nijaki;Pakiranje je preveliko.;Opakowanie jest za duże.;NO;;HR_1501_2000 noun shopping
1552;etykieta;etiketa;noun;rodzaj żeński;Na etiketi piše sastav.;Na etykiecie pisze skład.;NO;;HR_1501_2000 noun shopping
1553;skład (produktu);sastav;noun;rodzaj męski;Sastav mi ne odgovara.;Skład mi nie odpowiada.;NO;;HR_1501_2000 noun food
1554;składnik;sastojak;noun;rodzaj męski - gen. sastojka;Trebam još jedan sastojak.;Potrzebuję jeszcze jednego składnika.;NO;;HR_1501_2000 noun food
1555;bez glutenu;bez glutena;phrase;;Imate li kruh bez glutena?;Mają państwo chleb bez glutenu?;NO;;HR_1501_2000 food
1556;dieta;dijeta;noun;rodzaj żeński;Na dijeti sam od siječnja.;Jestem na diecie od stycznia.;NO;;HR_1501_2000 noun food
1557;chudnąć;mršaviti;verb;1. os.: mršavim;Mršavi otkad trči.;Chudnie odkąd biega.;NO;;HR_1501_2000 verb
1558;tyć;debljati se;verb;1. os.: debljam se;Zimi se uvijek udebljam.;Zimą zawsze tyję.;NO;;HR_1501_2000 verb
1559;gruby;debeo;adjective;ž. debela;Zid je debeo pola metra.;Ściana jest gruba pół metra.;NO;;HR_1501_2000 adjective
1560;chudy;mršav;adjective;ž. mršava;Postao je jako mršav.;Stał się bardzo chudy.;NO;;HR_1501_2000 adjective people
1561;wysportowany;sportski;adjective;częściej: u dobroj formi;U dobroj je formi.;Jest w dobrej formie.;NO;;HR_1501_2000 adjective people
1562;kondycja;kondicija;noun;rodzaj żeński;Izgubio sam kondiciju.;Straciłem kondycję.;NO;;HR_1501_2000 noun
1563;ćwiczyć;vježbati;verb;1. os.: vježbam - znaczy też trenować;Vježbam svaki drugi dan.;Ćwiczę co drugi dzień.;NO;;HR_1501_2000 verb
1564;ćwiczenie;vježba;noun;rodzaj żeński;Ova vježba je preteška.;To ćwiczenie jest za trudne.;NO;;HR_1501_2000 noun
1565;mięsień;mišić;noun;rodzaj męski - mn. mišići;Bole me mišići od jučer.;Bolą mnie mięśnie od wczoraj.;NO;;HR_1501_2000 noun
1566;oddychać;disati;verb;1. os.: dišem;Diši duboko i polako.;Oddychaj głęboko i powoli.;NO;;HR_1501_2000 verb
1567;głęboki;dubok;adjective;ž. duboka;More je ovdje duboko.;Morze jest tu głębokie.;NO;;HR_1501_2000 adjective travel
1568;płytki;plitak;adjective;ž. plitka;Za djecu je more plitko.;Dla dzieci morze jest płytkie.;NO;;HR_1501_2000 adjective travel
1569;wąski;uzak;adjective;ž. uska;Ulica je preuska za auto.;Ulica jest za wąska dla samochodu.;NO;;HR_1501_2000 adjective travel
1570;szeroki;širok;adjective;ž. široka;Terasa je široka i sunčana.;Taras jest szeroki i słoneczny.;NO;;HR_1501_2000 adjective home
1571;okrągły;okrugao;adjective;ž. okrugla;Stol je okrugao.;Stół jest okrągły.;NO;;HR_1501_2000 adjective home
1572;prosty (linia);ravan;adjective;ž. ravna - znaczy też płaski;Cesta je ravna do mora.;Droga jest prosta aż do morza.;NO;;HR_1501_2000 adjective transportation
1573;kształt;oblik;noun;rodzaj męski;Oblik nije važan.;Kształt nie jest ważny.;NO;;HR_1501_2000 noun
1574;wielkość;veličina;noun;rodzaj żeński;Veličina sobe nam odgovara.;Wielkość pokoju nam odpowiada.;NO;;HR_1501_2000 noun travel
1575;powierzchnia;površina;noun;rodzaj żeński;Stan ima šezdeset kvadrata.;Mieszkanie ma sześćdziesiąt metrów.;NO;;HR_1501_2000 noun home
1576;metr kwadratowy;kvadratni metar;noun;potocznie kvadrat;Cijena po kvadratu je visoka.;Cena za metr jest wysoka.;NO;;HR_1501_2000 noun home
1577;wysokość;visina;noun;rodzaj żeński;Visina stropa je tri metra.;Wysokość sufitu to trzy metry.;NO;;HR_1501_2000 noun home
1578;sufit;strop;noun;rodzaj męski - mn. stropovi;Strop je oštećen od vlage.;Sufit jest uszkodzony od wilgoci.;NO;;HR_1501_2000 noun home
1579;wilgoć;vlaga;noun;rodzaj żeński;Vlaga je problem u prizemlju.;Wilgoć to problem na parterze.;NO;;HR_1501_2000 noun home
1580;parter;prizemlje;noun;rodzaj nijaki;Stan je u prizemlju.;Mieszkanie jest na parterze.;NO;;HR_1501_2000 noun home
1581;uszkodzony;oštećen;adjective;ž. oštećena;Paket je stigao oštećen.;Paczka przyszła uszkodzona.;NO;;HR_1501_2000 adjective shopping
1582;paczka;paket;noun;rodzaj męski - mn. paketi;Paket stiže sutra.;Paczka przychodzi jutro.;NO;;HR_1501_2000 noun shopping
1583;dostawa;dostava;noun;rodzaj żeński;Dostava je besplatna iznad pedeset eura.;Dostawa jest bezpłatna powyżej pięćdziesięciu euro.;NO;;HR_1501_2000 noun shopping
1584;kurier;dostavljač;noun;rodzaj męski;Dostavljač je zvonio dvaput.;Kurier dzwonił dwa razy.;NO;;HR_1501_2000 noun work people
1585;zamówienie online;narudžba;noun;rodzaj żeński;Narudžba je potvrđena mailom.;Zamówienie potwierdzono mailem.;NO;;HR_1501_2000 noun shopping
1586;sklep internetowy;internetska trgovina;noun;rodzaj żeński;Kupujem u internetskoj trgovini.;Kupuję w sklepie internetowym.;NO;;HR_1501_2000 noun shopping
1587;śledzić przesyłkę;pratiti pošiljku;phrase;pratiti - pratim;Pratim pošiljku preko aplikacije.;Śledzę przesyłkę przez aplikację.;NO;;HR_1501_2000 shopping
1588;obserwować;pratiti;verb;1. os.: pratim - znaczy też śledzić;Pratim tu seriju svaki tjedan.;Oglądam ten serial co tydzień.;NO;;HR_1501_2000 verb media
1589;serial;serija;noun;rodzaj żeński;Nova serija je odlična.;Nowy serial jest znakomity.;NO;;HR_1501_2000 noun media
1590;odcinek;epizoda;noun;rodzaj żeński;Zadnja epizoda je najbolja.;Ostatni odcinek jest najlepszy.;NO;;HR_1501_2000 noun media
1591;kanał (telewizyjny);program;noun;rodzaj męski - mn. programi;Prebaci na drugi program.;Przełącz na inny kanał.;NO;;HR_1501_2000 noun media
1592;wiadomość (informacja);vijest;noun;rodzaj żeński - gen. vijesti;Imam dobru vijest.;Mam dobrą wiadomość.;NO;;HR_1501_2000 noun media
1593;artykuł;članak;noun;rodzaj męski - gen. članka;Pročitao sam članak o tome.;Przeczytałem artykuł o tym.;NO;;HR_1501_2000 noun media
1594;dziennikarz;novinar;noun;rodzaj męski - ž. novinarka;Novinar je postavio teško pitanje.;Dziennikarz zadał trudne pytanie.;NO;;HR_1501_2000 noun media people
1595;wywiad;intervju;noun;rodzaj męski;Dao je intervju za televiziju.;Udzielił wywiadu dla telewizji.;NO;;HR_1501_2000 noun media
1596;reklama;reklama;noun;rodzaj żeński;Reklame prekidaju film.;Reklamy przerywają film.;NO;;HR_1501_2000 noun media
1597;portal internetowy;portal;noun;rodzaj męski;Vijest je objavljena na portalu.;Wiadomość opublikowano na portalu.;NO;;HR_1501_2000 noun media
1598;publikować;objaviti;verb;1. os.: objavim;Objavili su fotografije jučer.;Opublikowali zdjęcia wczoraj.;NO;;HR_1501_2000 verb media
1599;media społecznościowe;društvene mreže;noun;rodzaj żeński mn.;Ne koristim društvene mreže.;Nie używam mediów społecznościowych.;NO;;HR_1501_2000 noun media
1600;komentarz;komentar;noun;rodzaj męski - mn. komentari;Komentari su bili grubi.;Komentarze były ostre.;NO;;HR_1501_2000 noun media
1601;ostry (o krytyce);grub;adjective;ž. gruba - znaczy też szorstki;Ton mu je bio grub.;Ton miał ostry.;NO;;HR_1501_2000 adjective conversation
1602;delikatny;nježan;adjective;ž. nježna;Bila je nježna prema djetetu.;Była delikatna wobec dziecka.;NO;;HR_1501_2000 adjective people
1603;głośno;glasno;adverb;;Govori glasnije molim te.;Mów głośniej proszę.;NO;;HR_1501_2000 adverb conversation
1604;cicho;tiho;adverb;;Djeca se tiho igraju.;Dzieci cicho się bawią.;NO;;HR_1501_2000 adverb
1605;szept;šapat;noun;rodzaj męski;Govorili su šapatom.;Mówili szeptem.;NO;;HR_1501_2000 noun conversation
1606;hałas;buka;noun;rodzaj żeński;Buka s ulice me budi.;Hałas z ulicy mnie budzi.;NO;;HR_1501_2000 noun home
1607;dźwięk;zvuk;noun;rodzaj męski - mn. zvukovi;Zvuk je preslab.;Dźwięk jest za słaby.;NO;;HR_1501_2000 noun media
1608;głośnik;zvučnik;noun;rodzaj męski;Zvučnik ne radi na mobitelu.;Głośnik nie działa w telefonie.;NO;;HR_1501_2000 noun media
1609;słuchawki;slušalice;noun;rodzaj żeński mn.;Zaboravio sam slušalice.;Zapomniałem słuchawek.;NO;;HR_1501_2000 noun media
1610;ładować (baterię);puniti;verb;1. os.: punim;Punim mobitel u autu.;Ładuję telefon w samochodzie.;NO;;HR_1501_2000 verb transportation
1611;rozładowany;prazan;adjective;o baterii - prazna baterija;Baterija mi je prazna.;Bateria mi się rozładowała.;NO;;HR_1501_2000 adjective media
1612;zasięg;signal;noun;rodzaj męski;Nema signala u tunelu.;Nie ma zasięgu w tunelu.;NO;;HR_1501_2000 noun transportation
1613;tunel;tunel;noun;rodzaj męski - mn. tuneli;Tunel je dug osam kilometara.;Tunel ma osiem kilometrów.;NO;;HR_1501_2000 noun transportation
1614;wieś (okolica);okolica;noun;rodzaj żeński;Okolica je vrlo mirna.;Okolica jest bardzo spokojna.;NO;;HR_1501_2000 noun travel
1615;sąsiednia miejscowość;susjedno mjesto;noun;;U susjednom mjestu je tržnica.;W sąsiedniej miejscowości jest targ.;NO;;HR_1501_2000 noun travel
1616;lokalny zwyczaj;lokalni običaj;noun;;To je lokalni običaj.;To lokalny zwyczaj.;NO;;HR_1501_2000 noun
1617;festyn;fešta;noun;rodzaj żeński - dalmatyński;Večeras je fešta na rivi.;Dziś wieczorem jest festyn na nabrzeżu.;NO;;HR_1501_2000 noun travel
1618;nabrzeże;riva;noun;rodzaj żeński;Šetamo rivom svaku večer.;Spacerujemy nabrzeżem każdego wieczoru.;NO;;HR_1501_2000 noun travel
1619;kawiarnia na świeżym powietrzu;kafić na otvorenom;phrase;;Sjedimo u kafiću na otvorenom.;Siedzimy w kawiarni na zewnątrz.;NO;;HR_1501_2000 food
1620;spotkanie towarzyskie;druženje;noun;rodzaj nijaki;Druženje je trajalo do ponoći.;Spotkanie trwało do północy.;NO;;HR_1501_2000 noun people
1621;spędzać czas;provoditi vrijeme;phrase;provoditi - provodim;Provodimo vrijeme s obitelji.;Spędzamy czas z rodziną.;NO;;HR_1501_2000 people time
1622;zapraszać do domu;pozvati u goste;phrase;;Pozvali su nas u goste.;Zaprosili nas do siebie.;NO;;HR_1501_2000 people
1623;gościnny;gostoljubiv;adjective;ž. gostoljubiva;Ljudi su ovdje gostoljubivi.;Ludzie są tu gościnni.;NO;;HR_1501_2000 adjective people
1624;częstować;ponuditi;verb;1. os.: ponudim;Ponudili su nas rakijom.;Poczęstowali nas rakiją.;NO;;HR_1501_2000 verb people food
1625;odmówić grzecznie;pristojno odbiti;phrase;;Pristojno sam odbio poziv.;Grzecznie odmówiłem zaproszenia.;NO;;HR_1501_2000 conversation
1626;zaproszenie;poziv;noun;rodzaj męski - znaczy też połączenie;Hvala na pozivu.;Dziękuję za zaproszenie.;NO;;HR_1501_2000 noun conversation
1627;przyjmować (zaproszenie);prihvatiti;verb;1. os.: prihvatim;Prihvatili smo njihov poziv.;Przyjęliśmy ich zaproszenie.;NO;;HR_1501_2000 verb conversation
1628;odrzucać;odbaciti;verb;1. os.: odbacim;Odbacili su naš prijedlog.;Odrzucili naszą propozycję.;NO;;HR_1501_2000 verb work
1629;propozycja;prijedlog;noun;rodzaj męski - mn. prijedlozi;Imam bolji prijedlog.;Mam lepszą propozycję.;NO;;HR_1501_2000 noun work
1630;kompromis;kompromis;noun;rodzaj męski;Našli smo kompromis.;Znaleźliśmy kompromis.;NO;;HR_1501_2000 noun work
1631;negocjować;pregovarati;verb;1. os.: pregovaram;Pregovaramo o cijeni.;Negocjujemy cenę.;NO;;HR_1501_2000 verb work
1632;targować się;cjenkati se;verb;1. os.: cjenkam se;Na tržnici se ljudi cjenkaju.;Na targu ludzie się targują.;NO;;HR_1501_2000 verb shopping
1633;opłacalny;isplativ;adjective;ž. isplativa;To nije isplativo.;To się nie opłaca.;NO;;HR_1501_2000 adjective work
1634;opłacać się;isplatiti se;verb;3. os.: isplati se;Isplati se kupiti veće pakiranje.;Opłaca się kupić większe opakowanie.;NO;;HR_1501_2000 verb shopping
1635;korzyść;korist;noun;rodzaj żeński - gen. koristi;Od toga nemam koristi.;Nie mam z tego korzyści.;NO;;HR_1501_2000 noun work
1636;strata;gubitak;noun;rodzaj męski - gen. gubitka;Firma je zabilježila gubitak.;Firma odnotowała stratę.;NO;;HR_1501_2000 noun work
1637;zysk;dobit;noun;rodzaj żeński - gen. dobiti;Dobit je bila veća nego lani.;Zysk był większy niż w zeszłym roku.;NO;;HR_1501_2000 noun work
1638;w zeszłym roku (potocznie);lani;adverb;;Lani smo bili u Grčkoj.;W zeszłym roku byliśmy w Grecji.;NO;;HR_1501_2000 adverb time
1639;w tym roku;ove godine;phrase;;Ove godine ostajemo doma.;W tym roku zostajemy w domu.;NO;;HR_1501_2000 time
1640;co roku;svake godine;phrase;;Svake godine idemo na isti otok.;Co roku jedziemy na tę samą wyspę.;NO;;HR_1501_2000 time
1641;codziennie;svakodnevno;adverb;też: svaki dan;Svakodnevno vježbam pola sata.;Codziennie ćwiczę pół godziny.;NO;;HR_1501_2000 adverb time
1642;co miesiąc;svaki mjesec;phrase;;Svaki mjesec plaćam najam.;Co miesiąc płacę czynsz.;NO;;HR_1501_2000 time
1643;rachunki (opłaty);režije;noun;rodzaj żeński mn.;Režije su porasle zimi.;Rachunki wzrosły w zimie.;NO;;HR_1501_2000 noun home
1644;woda i prąd;voda i struja;phrase;;Voda i struja nisu uključene.;Woda i prąd nie są wliczone.;NO;;HR_1501_2000 home
1645;wliczony;uključen;adjective;ž. uključena;Doručak je uključen.;Śniadanie jest wliczone.;NO;;HR_1501_2000 adjective travel
1646;dodatkowa opłata;doplata;noun;rodzaj żeński;Za psa se plaća doplata.;Za psa płaci się dodatkową opłatę.;NO;;HR_1501_2000 noun travel
1647;kaucja;polog;noun;rodzaj męski - też: jamčevina;Polog vraćamo pri odjavi.;Kaucję zwracamy przy wymeldowaniu.;NO;;HR_1501_2000 noun travel
1648;podpisać umowę najmu;potpisati ugovor o najmu;phrase;;Potpisali smo ugovor o najmu.;Podpisaliśmy umowę najmu.;NO;;HR_1501_2000 home work
1649;wypowiedzenie;otkaz;noun;rodzaj męski;Dao je otkaz u svibnju.;Złożył wypowiedzenie w maju.;NO;;HR_1501_2000 noun work
1650;zwolnić się z pracy;dati otkaz;phrase;;Dala je otkaz i preselila se.;Zwolniła się i przeprowadziła.;NO;;HR_1501_2000 work
1651;szukać mieszkania;tražiti stan;phrase;;Tražimo stan bliže centru.;Szukamy mieszkania bliżej centrum.;NO;;HR_1501_2000 home
1652;pośrednik;agent;noun;rodzaj męski - agent za nekretnine;Agent nam je pokazao tri stana.;Pośrednik pokazał nam trzy mieszkania.;NO;;HR_1501_2000 noun work
1653;nieruchomość;nekretnina;noun;rodzaj żeński;Nekretnine su poskupjele.;Nieruchomości podrożały.;NO;;HR_1501_2000 noun work
1654;drożeć;poskupjeti;verb;3. os.: poskupi;Sve je poskupjelo ove godine.;Wszystko podrożało w tym roku.;NO;;HR_1501_2000 verb shopping
1655;taniejać;pojeftiniti;verb;3. os.: pojeftini;Karte pojeftine u rujnu.;Bilety tanieją we wrześniu.;NO;;HR_1501_2000 verb travel
1656;inflacja;inflacija;noun;rodzaj żeński;Inflacija je usporila.;Inflacja zwolniła.;NO;;HR_1501_2000 noun media
1657;kryzys;kriza;noun;rodzaj żeński;Kriza je pogodila turizam.;Kryzys uderzył w turystykę.;NO;;HR_1501_2000 noun media
1658;turystyka;turizam;noun;rodzaj męski - gen. turizma;Turizam je glavni prihod.;Turystyka to główny dochód.;NO;;HR_1501_2000 noun work
1659;główny;glavni;adjective;ž. glavna;Glavni ulaz je zatvoren.;Główne wejście jest zamknięte.;NO;;HR_1501_2000 adjective
1660;dodatkowy;dodatan;adjective;ž. dodatna;Trebamo dodatan krevet.;Potrzebujemy dodatkowego łóżka.;NO;;HR_1501_2000 adjective travel
1661;wystarczający;dovoljan;adjective;ž. dovoljna;Jedan dan nije dovoljan.;Jeden dzień nie wystarczy.;NO;;HR_1501_2000 adjective
1662;wystarczająco;dovoljno;adverb;;Imamo dovoljno vremena.;Mamy wystarczająco czasu.;NO;;HR_1501_2000 adverb time
1663;brak;nedostatak;noun;rodzaj męski - gen. nedostatka;Nedostatak vremena je problem.;Brak czasu to problem.;NO;;HR_1501_2000 noun work
1664;nadmiar;višak;noun;rodzaj męski - gen. viška;Imam višak stvari u koferu.;Mam nadmiar rzeczy w walizce.;NO;;HR_1501_2000 noun travel
1665;reszta (pozostałość);ostatak;noun;rodzaj męski;Ostatak ću ti reći sutra.;Resztę powiem ci jutro.;NO;;HR_1501_2000 noun conversation
1666;prawie wszystko;gotovo sve;phrase;;Gotovo sve je spremno.;Prawie wszystko jest gotowe.;NO;;HR_1501_2000 conversation
1667;gotowy (przygotowany);spreman;adjective;ž. spremna;Jesi li spreman za polazak?;Jesteś gotowy do wyjazdu?;NO;;HR_1501_2000 adjective travel
1668;wyjazd (odjazd);polazak;noun;rodzaj męski - gen. polaska;Polazak je u šest ujutro.;Wyjazd jest o szóstej rano.;NO;;HR_1501_2000 noun travel
1669;przyjazd;dolazak;noun;rodzaj męski - gen. dolaska;Dolazak je oko podneva.;Przyjazd jest około południa.;NO;;HR_1501_2000 noun travel
1670;powrót;povratak;noun;rodzaj męski - gen. povratka;Povratak je u nedjelju navečer.;Powrót jest w niedzielę wieczorem.;NO;;HR_1501_2000 noun travel
1671;pożegnanie;oproštaj;noun;rodzaj męski;Oproštaj je bio kratak.;Pożegnanie było krótkie.;NO;;HR_1501_2000 noun people
1672;żegnać się;oprostiti se;verb;1. os.: oprostim se - s kim;Oprostili smo se na kolodvoru.;Pożegnaliśmy się na dworcu.;NO;;HR_1501_2000 verb people
1673;odprowadzać;otpratiti;verb;1. os.: otpratim;Otpratit ću te do auta.;Odprowadzę cię do samochodu.;NO;;HR_1501_2000 verb people
1674;podwieźć;odvesti;verb;1. os.: odvezem;Mogu te odvesti do centra.;Mogę cię podwieźć do centrum.;NO;;HR_1501_2000 verb transportation
1675;przywieźć;dovesti;verb;1. os.: dovezem;Dovest ću te s aerodroma.;Przywiozę cię z lotniska.;NO;;HR_1501_2000 verb transportation
